"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4470","@smoke should go to Dashboard page when login with valid credentials","Login tests","2026-03-28","passed","2026-03-28","","","",""
"","3613","should display error message when login with invalid credentials","Login tests","2026-03-28","passed","2026-03-28","","","",""
